ResponseId,demo_part2_religion,demo_part2_free,demo_religserv-PEW,demo_religimp-PEW,demo_part3_pray-PEW,religion_cat,religion_denom
R_Ck4AdZiPhSj2VmF,"Spiritual but not religious,Nothing in particular",I consider myself to be more spiritual than religious.,Seldom,Not too important,A few times a month,"Evangelical or ""born again""",Christian
R_3CK6BxNNxTgVaWW,Catholic,I am officially Catholic but am not a practicing Catholic,Never,Not at all important,Seldom,Catholic,Christian
R_24l9quPrNBPCrpt,Spiritual but not religious,NA,Never,Not at all important,Never,Spiritual but not religious,New Age / Spiritual
R_20ZPEgZsP8N2UES,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3FJrAFTZCc5wlxW,"Christian, no specific denomination",NA,More than once a week,Very important,Several times a day,"Christian, no specific denomination",Christian
R_1BW3d6vmxzHd3uC,Nothing in particular,NA,Never,Not at all important,Once a day,Nothing in particular,Non-religious
R_bmBkqw0PM9Kq0tb,Spiritual but not religious,NA,Seldom,Not at all important,A few times a week,Spiritual but not religious,New Age / Spiritual
R_3nGkTtVwENWimuQ,Catholic,n/a,NA,Somewhat important,A few times a week,Catholic,Christian
R_3qBsfEsjvQ6esRR,"Spiritual but not religious,Atheist",NA,Never,Not at all important,Once a day,"Evangelical or ""born again""",Christian
R_1diOoVhPwZcYCyY,Catholic,"If I had to pick, I guess I would say that I'm Catholic, but religion doesn't play a part in my life or affect any decisions that I make.",Never,Not at all important,Never,Catholic,Christian
R_3koJVRMa5w4rEU0,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_22Kyi4orSYoX5rz,Atheist,No comments,Never,Not at all important,Never,Atheist,Non-religious
R_9WUI71iuygzWzS1,Atheist,There is no gods or demons and  as an academic how dare you spread the propaganda that there is,Never,Not at all important,Never,Atheist,Non-religious
R_1OV1hIjkSzj08aC,Protestant,NA,Never,Not too important,Never,Protestant,Christian
R_2wuiRZA6eY3wjUe,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_sopR4BatVWEYq41,"Christian, no specific denomination",I am a christian and  have felt the holy spirit just by simple goose bumps on my arm as someone is telling me their testimonie,NA,Very important,Several times a day,"Christian, no specific denomination",Christian
R_1OMRoHqbPS3CATI,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_28G75BR6Ht5SS1j,Spiritual but not religious,NA,Never,Not at all important,Never,Spiritual but not religious,New Age / Spiritual
R_1FkVpaiiogaVSgM,Nothing in particular,NA,Never,Not too important,Never,Nothing in particular,Non-religious
R_3DkaTA7ihgnOC27,Jewish,NA,Never,Not too important,Seldom,Jewish,Other World Religion
R_2tKal3FZ5Cl5JHD,"Agnostic,Nothing in particular",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_6Dv7Yg7bgbdSIY9,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox)",NA,A few times a year,Somewhat important,Once a day,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox)",Christian
R_2En9hkvB3BkoyOJ,Spiritual but not religious,NA,Seldom,Somewhat important,Seldom,Spiritual but not religious,New Age / Spiritual
R_9mGCALiaz0WLQ3f,Protestant,no,Seldom,Somewhat important,A few times a week,Protestant,Christian
R_33rqMxrxpvQLjXu,Atheist,"I was raised Catholic during childhood and then evangelical in my early teens, though I would say I've been an atheist since around 12",Seldom,Not at all important,Never,Atheist,Non-religious
R_09emspNRLG0GfeN,Agnostic,The question about a spirit sending you images was a result of psychedelics,Seldom,Not at all important,Seldom,Agnostic,Non-religious
R_ysf48q7wM0B2isN,Protestant,NA,Seldom,Not too important,A few times a week,Protestant,Christian
R_3Ocy8QhxUtGaHkJ,"Christian, no specific denomination",NA,Seldom,Somewhat important,Seldom,"Christian, no specific denomination",Christian
R_1OPOzzQQfiZNkDJ,Catholic,NA,A few times a year,Somewhat important,Seldom,Catholic,Christian
R_3kLkKhbaLT7XGnC,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_114rDM2IlVCBLiC,Spiritual but not religious,NA,Never,Not at all important,Seldom,Spiritual but not religious,New Age / Spiritual
R_2QX5J0AdR9Ck9kh,"Christian, no specific denomination",I am Jewish by ethnicity but Christian in faith,Seldom,Very important,A few times a week,"Christian, no specific denomination",Christian
R_5tY0Ze7jL5a57u9,"Christian, no specific denomination",NA,Seldom,Somewhat important,Several times a day,"Christian, no specific denomination",Christian
R_2P0YHbrBKFn50Wo,Agnostic,No,Never,Not at all important,Never,Agnostic,Non-religious
R_2Bsomwu3Bli4cGH,Some other kind of Christianity (Please describe below.),NA,Seldom,Somewhat important,Several times a day,Some other kind of Christianity (Please describe below.),Christian
R_11cHKoF6iV2gtuF,"Christian, no specific denomination",NA,Once or twice a month,Somewhat important,A few times a month,"Christian, no specific denomination",Christian
R_3HNzpnTu0rQtQNO,"Christian, no specific denomination","I like how many options you gave for religion. A lot of these I do don't even include ""Christian"" which is weird.",A few times a year,Very important,A few times a week,"Christian, no specific denomination",Christian
R_2zirEJZjcqaKev9,Jewish,NA,A few times a year,Not too important,Never,Jewish,Other World Religion
R_1EdgEtCvXgewyiL,"Catholic,Nothing in particular",NA,Never,Not too important,Never,More than one religion/spirituality,More than one religion/spirituality
R_1qVE9LZ3qtSEqfJ,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1IsYXA0VB7Kc3V1,"Pagan, Wiccan, or other New Age faiths","I was baptized Catholic, but my parents became atheists when I was very young and I never really went to church.  I was an atheist until my mid 20s, when my daughter was born very premature, we both almost died and she was hospitalized for months, and while she was in the hospital I had a dream that one of the lion goddesses - Sekhmet or Ereshkigal I guess - came to me and told me that I had not been forgotten and everything would be ok, and my daughter was discharged from the hospital shortly afterwards with most of her issues resolved.  I'm not super open about my faith in person as my parents are still very die hard atheists with strong opinions about all religions and especially Pagan/New Age religions, and my husband was raised Catholic and had his own very negative experiences with that religion and with going to religious school.  So mostly I keep my faith and worship largely to myself.",Never,Somewhat important,A few times a month,"Pagan, Wiccan, or other New Age faiths",New Age / Spiritual
R_2tnXPXxUVa9IbQ5,"Christian, no specific denomination","I have a personal relationship with God, but I do not often go to church.",Seldom,Very important,Once a day,"Christian, no specific denomination",Christian
R_0qCmASALYpnqB7X,Catholic,NA,Once a week,Very important,A few times a week,Catholic,Christian
R_DjK6g4tVqIzoGc1,Atheist,None,Never,Not at all important,Never,Atheist,Non-religious
R_Z9mkWBuGho8axY5,"Christian, no specific denomination,Agnostic",NA,Seldom,Somewhat important,Seldom,More than one religion/spirituality,More than one religion/spirituality
R_2qz7xlo82cRNIGQ,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3lDN0weg2oBSt0a,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2y7P9UGvAbMO6IS,Protestant,NA,Once or twice a month,Somewhat important,Several times a day,Protestant,Christian
R_2SrGPZettrnXqcB,Catholic,NA,Once a week,Very important,Once a day,Catholic,Christian
R_3ezvo0ERhTTcY09,"Evangelical or ""born again""",NA,Once or twice a month,Very important,Several times a day,"Evangelical or ""born again""",Christian
R_6fbzAOUj3DNMHIZ,"Christian, no specific denomination",NA,More than once a week,Very important,Once a week,"Christian, no specific denomination",Christian
R_1f48WONR6cbvXUR,Agnostic,NA,Seldom,Not too important,Never,Agnostic,Non-religious
R_31pCV14UYGbzU5o,Atheist,"I was loosely raised Catholic. Although I don't believe in religion, I envy the people that do. We don't have many things that bring us together anymore.",Never,Not at all important,Never,Atheist,Non-religious
R_1kIB4Kn6tcqwhBK,Protestant,NA,Never,Very important,Once a day,Protestant,Christian
R_27xv10by63cbiPy,Agnostic,NA,Seldom,Not at all important,Never,Agnostic,Non-religious
R_Cgkjbo3AKW6K1KF,"Christian, no specific denomination",NA,Seldom,Not too important,Seldom,"Christian, no specific denomination",Christian
R_24f6whSxMXdlcI3,Spiritual but not religious,NA,Seldom,Not too important,Seldom,Spiritual but not religious,New Age / Spiritual
R_OwhY87A6P0E7OYF,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_bPWETG0ORgQbs7T,Spiritual but not religious,NA,Seldom,Not at all important,Never,Spiritual but not religious,New Age / Spiritual
R_2pSlc3FtafqfhP3,Some other kind of Christianity (Please describe below.),NA,Never,Very important,Several times a day,Some other kind of Christianity (Please describe below.),Christian
R_2rSgVq6E6UnqdUd,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2zkCqWbh1wAogdG,"Spiritual but not religious,Agnostic",NA,Seldom,Not at all important,Never,"Evangelical or ""born again""",Christian
R_uwh8MlNPGzVSW8F,Something else (Please describe below.),NA,A few times a year,Somewhat important,A few times a week,Something else (Please describe below.),Other
R_1OkkGcUupKFaQnh,Protestant,In my youth I was extremely religious but that has mostly diminished with time to the point that I feel little to no connection.,Never,Not at all important,Never,Protestant,Christian
R_byJrZr5h5v0fHqx,Protestant,"After people close to me die, i sometimes feel them visit a few days later. This was especially true with the man a was married to. Sound, smells,felt presence-- all of it.",Once or twice a month,Somewhat important,Once a week,Protestant,Christian
R_2qCMZMCPLijV3Kv,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3CJA7fEZYdL0eRb,Catholic,I am catholic because my parents have that formation and although I respect it I am not very devoted to this or any other religion although I respect all of them.,Once or twice a month,Not too important,Once a week,Catholic,Christian
R_2410cd8tQq8TAie,"Evangelical or ""born again""",NA,Once a week,Very important,Once a day,"Evangelical or ""born again""",Christian
R_2fJ4V4G7OVCFIL8,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3dYrvGEP0ej3WCm,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_2DXZGLoXY2thx5i,Protestant,NA,Seldom,Somewhat important,A few times a week,Protestant,Christian
R_XmJetQmMxXRfKcF,Protestant,NA,Seldom,Somewhat important,Seldom,Protestant,Christian
R_T14pk6DMGboE54l,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_21AOh5M9SrdBNMk,Agnostic,NA,Never,Not at all important,Several times a day,Agnostic,Non-religious
R_2DXGyT7qiIK67f7,Spiritual but not religious,NA,Seldom,Not at all important,Never,Spiritual but not religious,New Age / Spiritual
R_3elZYVGRWkkfsWt,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_2YsIZd9mkL9FjS8,Spiritual but not religious,"I was raised strict Wesleyan Methodist, switched to Pagan from age 16-40, now I'm more Earth based spiritual.",Seldom,Somewhat important,NA,Spiritual but not religious,New Age / Spiritual
R_2OOsUNOT4CEUa3Q,Agnostic,"There is something, just not sure exactly what",Never,Not at all important,Never,Agnostic,Non-religious
R_PzHIHlx6huCXBZv,Agnostic,NA,NA,NA,NA,Agnostic,Non-religious
R_3im1JoMjTkLuPqG,"Evangelical or ""born again""",pURPOSE?/,Once or twice a month,Very important,Once a day,"Evangelical or ""born again""",Christian
R_12LKRe68uIFnWRO,Catholic,NA,Once or twice a month,Very important,A few times a week,Catholic,Christian
R_3P5FD3UAOVSsbL7,Protestant,NA,Never,Not too important,A few times a month,Protestant,Christian
R_1E72InpggtG39jy,Protestant,NA,Never,Not too important,Seldom,Protestant,Christian
R_10xf6NRx1Z9lUep,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_2xKxuDOp2zfG4u2,Spiritual but not religious,NA,Never,Not at all important,Seldom,Spiritual but not religious,New Age / Spiritual
R_3oXZIZsaosaIJ5C,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_cOLwnO1YjPygj0R,Atheist,i used to be a christian. but science is more logical to me now.,Never,Not at all important,Never,Atheist,Non-religious
R_bPfbZZmUdgTDV0B,Some other kind of Christianity (Please describe below.),NA,A few times a year,Not too important,Never,Some other kind of Christianity (Please describe below.),Christian
R_3kPHoRjWvtYE47v,Protestant,NA,A few times a year,Somewhat important,Several times a day,Protestant,Christian
R_ABXHqljxYBgn80V,"Pagan, Wiccan, or other New Age faiths",NA,Seldom,Not too important,Once a day,"Pagan, Wiccan, or other New Age faiths",New Age / Spiritual
R_1KlP5xNNY0dXG7f,Spiritual but not religious,NA,Never,Not at all important,Seldom,Spiritual but not religious,New Age / Spiritual
R_1rv51BvWgeL2dLa,"Christian, no specific denomination",NA,Seldom,Very important,A few times a month,"Christian, no specific denomination",Christian
R_qRza9DqufQ3XChP,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_32XfDKJVjKprToS,Protestant,NA,Seldom,Not too important,Seldom,Protestant,Christian
R_1IiMHUBG85KYBC3,"Christian, no specific denomination",NA,A few times a year,Very important,A few times a week,"Christian, no specific denomination",Christian
R_22Kyf5TMBILGpLC,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox)",NA,Never,Not at all important,Never,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox)",Christian
R_1jZDmEFFx2Rw1iR,"Christian, no specific denomination","I believe, but I haven't gone to church in around 2-3 years.",Never,Somewhat important,Seldom,"Christian, no specific denomination",Christian
R_3iQOHJlHvXqBJBx,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_yVEHtblyVFm2lIl,Catholic,"I rarely go to church, but consider myself to be deeply spiritual.  I strongly believe there is a God.   I feel there have been times in my life where that Divine Presence has subtly guided me in the right direction, when I was headed down the wrong path.",Seldom,Not too important,Once a day,Catholic,Christian
R_6i1AiExgBmxm729,Agnostic,Recently left the Christian faith after 15 years.,Never,Not at all important,Seldom,Agnostic,Non-religious
R_1o59icrMtOmfjPx,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3kb3UsdHabTEnJp,Protestant,NA,Never,Not too important,Seldom,Protestant,Christian
R_XmSywXDvrsKHiZH,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_pEOQpOW10l9AlIR,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3fefSW0AQvxaJEN,"Spiritual but not religious,Agnostic",NA,Seldom,Somewhat important,A few times a week,"Evangelical or ""born again""",Christian
R_2zBdqQImuSTuehx,Protestant,NA,Once a week,Very important,Several times a day,Protestant,Christian
R_eOG7R3EqOzYJzz3,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_PBzg21oIrwtkvcJ,"Christian, no specific denomination",NA,Once a week,Very important,Several times a day,"Christian, no specific denomination",Christian
R_1GvlEE1PcmTvpvC,Atheist,NA,Never,Not at all important,Seldom,Atheist,Non-religious
R_3fPq3xNQSATn5NK,"Member of the Church of Jesus Christ of Latter-day Saints (sometimes known as ""Mormon"")",NA,Once a week,Very important,Once a day,"Member of the Church of Jesus Christ of Latter-day Saints (sometimes known as ""Mormon"")",Christian
R_1CjvDzY4VlFQvUj,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3NKttpM3lONWb3h,Buddhist,NA,Never,Not at all important,Never,Buddhist,Other World Religion
R_9AMdkDsO3LPdbDX,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_u4lnb0l2DmWZLcB,Some other world religion (Please describe below.),I am a member of the Church of Light,A few times a year,Very important,A few times a month,Some other world religion (Please describe below.),Other World Religion
R_1EYh37zxSgGOcVJ,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_1N535knYZGlrDv8,"Christian, no specific denomination",NA,Seldom,Somewhat important,A few times a week,"Christian, no specific denomination",Christian
R_vH8mT4aNM0jgWe5,"Christian, no specific denomination",NA,Never,Very important,Once a day,"Christian, no specific denomination",Christian
R_3MJC0lJEfV3kYZA,Nothing in particular,NA,Seldom,Not at all important,Seldom,Nothing in particular,Non-religious
R_3KNFG5W5p7XsnKR,"Evangelical or ""born again""",no,Once a week,Very important,Once a day,"Evangelical or ""born again""",Christian
R_5ilM6aoEOinC145,Protestant,no,Seldom,Very important,A few times a week,Protestant,Christian
R_3gXf0s7gABnQub2,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_3Diq9pTIcYAyUmd,Protestant,no thanks,Once a week,Very important,Once a day,Protestant,Christian
R_1lbivag1ckAkzFx,Jewish,NA,Never,Not at all important,Never,Jewish,Other World Religion
R_1Ar7EfOsLUdr3Mt,"Evangelical or ""born again"",Christian, no specific denomination",NA,Seldom,Somewhat important,Several times a day,"Evangelical or ""born again""",Christian
R_2eR8nPQjn8lx5Ps,Agnostic,I was raised Presbyterian.,Seldom,Not too important,Seldom,Agnostic,Non-religious
R_3Ge5EHlBpBt3Ywm,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2eUxNj2fjEVy8uM,"Pagan, Wiccan, or other New Age faiths,Spiritual but not religious","I identify as a witch, but am currently non-practicing.",Never,Not too important,Seldom,More than one religion/spirituality,More than one religion/spirituality
R_3dYxn2vpOrKkXGa,Agnostic,NA,Never,Not too important,Never,Agnostic,Non-religious
R_xypa6rAuJeodrXP,"Spiritual but not religious,Nothing in particular",NA,Never,Not at all important,Never,"Evangelical or ""born again""",Christian
R_3hmfKQQPdy4cFGs,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_VO3Kt3NnlPz4dR7,Spiritual but not religious,NA,Never,Not at all important,Once a day,Spiritual but not religious,New Age / Spiritual
R_SNWUjVeTrKCBJJL,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox)",I identify as a Russian Orthodox Christian but I do not belong to a church or attend religious services. I consider my relationship with God to be a personal matter that is best practiced privately and by exercising patience and kindness rather than engaging in elaborate rituals.,Never,Very important,A few times a month,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox)",Christian
R_55XdZ4E9KdMM9qN,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_32VNwnmnvzilB7W,"Evangelical or ""born again""",NA,Once or twice a month,Very important,A few times a month,"Evangelical or ""born again""",Christian
R_1IhmTQcgVg8WLYE,"Jewish,Agnostic",NA,Seldom,Not at all important,Seldom,More than one religion/spirituality,More than one religion/spirituality
R_1oI330EEc7odtJB,"Christian, no specific denomination",NA,Seldom,Not too important,Once a week,"Christian, no specific denomination",Christian
R_2aaTgNCXk4LCIRe,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_1Dpv2weGDKGisOA,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2wS6bsQahYY45sw,Agnostic,looks like to me that 'God' might be either a programmer or the player of a game.....   just saying....,Never,Not at all important,Never,Agnostic,Non-religious
R_2VCT3dhDNPt9DGN,Protestant,NA,Never,Very important,Once a day,Protestant,Christian
R_V4FK5GGqlDUCuhX,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_21iZmdWGN2UEMdl,"Evangelical or ""born again""","Born again Christian believing in Salvation, by grace through faith (not works based). Jesus' death on the Cross, nothing I can do to add worth to that for Salvation. :)",More than once a week,Very important,Several times a day,"Evangelical or ""born again""",Christian
R_2fs6VI0dnR1FWhf,"Christian, no specific denomination,Spiritual but not religious",NA,Seldom,Somewhat important,Once a day,More than one religion/spirituality,More than one religion/spirituality
R_6rE2oBwavnoYRd7,Agnostic,NA,Seldom,Not at all important,Never,Agnostic,Non-religious
R_2zYXc1UZzNGADGC,"Evangelical or ""born again""",nothing thank you,More than once a week,Very important,Several times a day,"Evangelical or ""born again""",Christian
R_Uu8kXR6efwPPeZH,"Agnostic,Atheist","I was raised as an evangelical protestant Christian, but eventually had a dramatic belief change to my current views. This happened around the same time I finally accepted who I am as gay as well. I enjoy pagan and Satanic symbolism and traditions, but mainly as a rejection of my prior faith. I don't actually believe in gods, magic, or spirits; or rather I don't see any evidence of them or their works in the universe.",Never,Not at all important,Several times a day,More than one non-religious identity,Non-religious
R_3KrnfIxujRF8tdg,Buddhist,NA,Seldom,Somewhat important,Never,Buddhist,Other World Religion
R_xcnwleJokgz6JAl,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox)",NA,Seldom,Not too important,Seldom,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox)",Christian
R_4Jyn3YdMuJTtGmt,"Christian, no specific denomination,Spiritual but not religious",NA,Never,Somewhat important,Several times a day,More than one religion/spirituality,More than one religion/spirituality
R_Rkk25zN7SOagHgl,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1Qh1LenQvr9XEsT,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2PaGxps5vr0vFHJ,Spiritual but not religious,NA,Never,Not at all important,Never,Spiritual but not religious,New Age / Spiritual
R_3iz4ocuijXMZQIi,Protestant,NA,Seldom,Very important,Seldom,Protestant,Christian
R_10SqIUbLw139O3n,"Evangelical or ""born again""",no,Once or twice a month,Very important,Once a day,"Evangelical or ""born again""",Christian
R_8qtUf7zudsBzIMV,"Christian, no specific denomination,Some other world religion (Please describe below.),Spiritual but not religious",NA,Never,Somewhat important,Seldom,More than one religion/spirituality,More than one religion/spirituality
R_3fertQeZg7S3zbK,Protestant,NA,Never,Somewhat important,Several times a day,Protestant,Christian
R_2VPhCo5cnadQ4pa,"Christian, no specific denomination",NA,A few times a year,Very important,A few times a week,"Christian, no specific denomination",Christian
R_2CUh7XJpbiFDgae,Spiritual but not religious,NA,Seldom,Somewhat important,Seldom,Spiritual but not religious,New Age / Spiritual
R_25KJ7CCcy2987sy,Atheist,i believe only in the Devil,Never,Not at all important,Never,Atheist,Non-religious
R_1q349Hoiat3gQPu,Catholic,I was raised Catholic but don't attend church. I relate to God 1-1.,Never,Very important,Once a day,Catholic,Christian
R_3EQHdobcirvuR9G,Catholic,Though raised Catholic I am very spiritual.,A few times a year,Somewhat important,Once a day,Catholic,Christian
R_8229hPIoBA0Q25z,Agnostic,No religious affiliation but I love nature.,Never,Not at all important,Never,Agnostic,Non-religious
R_Q0QNVB1mLj2LT6F,Catholic,NA,Never,Not at all important,Never,Catholic,Christian
R_ZxYCpBsuSvDTiN3,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1F5K3iIl8NJzAvG,Catholic,NA,Never,Not too important,Several times a day,Catholic,Christian
R_3rZY32LeSeELwui,"Christian, no specific denomination",NA,Seldom,Not too important,Seldom,"Christian, no specific denomination",Christian
R_2zeAZzOJCvb9dbf,"Christian, no specific denomination",NA,Seldom,Very important,Once a day,"Christian, no specific denomination",Christian
R_1f9EjhTREmI6OcP,"Christian, no specific denomination,Nothing in particular",I grew up Christian but have since been questioning and do not really know what I believe in.,A few times a year,Not too important,Never,More than one religion/spirituality,More than one religion/spirituality
R_3NEBEqWGrq1pUjP,Protestant,"While I identify as Protestant, I don't really engage in any regular religious activity",Never,Not too important,Seldom,Protestant,Christian
R_z1JoSzZrm7N7QnD,"Protestant,Buddhist,Agnostic","Culturally protestant, philosophically Buddhist, emotionally agnostic",A few times a year,Somewhat important,Never,More than one religion/spirituality,More than one religion/spirituality
R_2E5Ifj9rPuyrAN5,"Christian, no specific denomination",NA,A few times a year,Somewhat important,Once a day,"Christian, no specific denomination",Christian
R_uvOWaErRvkpoSJP,Some other kind of Christianity (Please describe below.),NA,Never,Not at all important,A few times a month,Some other kind of Christianity (Please describe below.),Christian
R_Z7xYv5gjOF03r9v,Catholic,NA,Once a week,Very important,Once a day,Catholic,Christian
R_1Fy0bLeA8EGJ2MW,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_9ZAmJVJyFU5Fjgd,Catholic,NA,Never,Not too important,Never,Catholic,Christian
R_1odlfYhlJYZHDxr,Catholic,NA,Once a week,Somewhat important,A few times a week,Catholic,Christian
R_3Duvt5xInUrwmXF,Jewish,"I was raised in the Jewish faith, and hold the values instilled, but don't regularly practice or pray!",Seldom,Not too important,Never,Jewish,Other World Religion
R_WoLt5QPy0waqhmp,Agnostic,I grew up in the Baptist faith and stopped affiliating almost 4 years ago.,Never,Not at all important,Never,Agnostic,Non-religious
R_1I770k7xXjDUBtX,Spiritual but not religious,NA,Never,Not at all important,Never,Spiritual but not religious,New Age / Spiritual
R_Xp48nNhVOyac9GN,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_1kNdeJFpzfjw09i,Protestant,NA,A few times a year,Not too important,A few times a week,Protestant,Christian
R_O1lHIwYttal4Hpn,Agnostic,NA,Never,Somewhat important,Seldom,Agnostic,Non-religious
R_1M4mUg4Lp66HZJU,Some other kind of Christianity (Please describe below.),NA,Never,Somewhat important,A few times a week,Some other kind of Christianity (Please describe below.),Christian
R_22snPoRbkdaTuwq,Protestant,NA,Once a week,Very important,Several times a day,Protestant,Christian
R_XY6A8MBVbqq8Git,Nothing in particular,NA,Never,Not at all important,Seldom,Nothing in particular,Non-religious
R_XRL1Kjngj6QfJND,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2whLJcWIepOQ2RX,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2EAUse1ZmR34OGy,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_zVySuS6UijAKs4F,Something else (Please describe below.),Veganism should be recognized as a religion because its more important how we live than what we beleive,Never,Very important,Several times a day,Something else (Please describe below.),Other
R_2cniFHOP1toDH7H,Spiritual but not religious,NA,Never,Somewhat important,A few times a month,Spiritual but not religious,New Age / Spiritual
R_2s4p5mGxemS9Moy,Catholic,NA,Once a week,Somewhat important,Once a day,Catholic,Christian
R_3ESHTy0UUhjLyQV,Nothing in particular,NA,Never,Not at all important,NA,Nothing in particular,Non-religious
R_UT0PMSf368fqAwh,Jehovah's Witness,NA,More than once a week,Very important,Several times a day,Jehovah's Witness,Christian
R_3D0eeXIjQHW6wm9,Atheist,"went to church a few times as a child, not frequently. Not religious but not intolerant, it's just personally not for me.",Never,Not at all important,Never,Atheist,Non-religious
R_1PZ9rr6Qc3pWONk,Jewish,NA,A few times a year,Somewhat important,A few times a month,Jewish,Other World Religion
R_bIt8wAOJPfoU9Kp,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_pKIYa12I8mOpWsV,Protestant,NA,Seldom,Somewhat important,Seldom,Protestant,Christian
R_263zC2Aq48eqRKa,"Christian, no specific denomination",NA,Seldom,Somewhat important,A few times a month,"Christian, no specific denomination",Christian
R_2ZUBbxEzLFiHSZW,Spiritual but not religious,NA,Never,Not at all important,Never,Spiritual but not religious,New Age / Spiritual
R_3kEXa44555N7Qa7,Protestant,NA,Seldom,Somewhat important,Several times a day,Protestant,Christian
R_2WO1ptpS6HmYLV1,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1Lus5XG6bzimKGk,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_3rMr5Zphxw0ZKLN,"Agnostic,Atheist",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_1DvcgEWf6LyZY5g,"Agnostic,Atheist","I bounce between agnostic and atheist. Generally tend to believe that there are no higher beings, but also that we lack the scientific ability to say one was or another definitively.",Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_2sX4r2ux61lN23b,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_wRAaHH8FjzyKTFD,Protestant,All though I believe in God I do not feel that he works through spirits. I feel he only speaks to you rarely and leaves you to your own free will.,Once or twice a month,Very important,A few times a month,Protestant,Christian
R_1Eahkuni50lfG9R,"Catholic,Spiritual but not religious",I live next to and work at a church. It's like a revolving door sometime . Thank you have a great day.,A few times a year,Not too important,A few times a week,More than one religion/spirituality,More than one religion/spirituality
R_3GcYUamV3gSUKbH,"Spiritual but not religious,Agnostic",NA,Never,Not too important,Seldom,"Evangelical or ""born again""",Christian
R_2P6CkXiZrxsbwnt,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1eVMAmaa1RYQd91,Atheist,I was a Catholic up until about 18 or so and just had a loss of faith that never returned in any capacity..,Never,Not at all important,Never,Atheist,Non-religious
